Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 33_level_0_Matches,Team,Unnamed: 4_level_0_MP
Opponent Total,,,27.3,,209,1710.0,19.0,28.0,16.0,44.0,25.0,3.0,3.0,27.0,1.0,29.3,27.2,21.3,48.5,236.0,580.0,568.0,1.47,0.84,2.32,1.32,2.16,1.54,1.12,2.66,1.43,2.55,,Angel City FC,19.0
Danielle Colaprico,us USA,MF,32-128,19.0,19,1562.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.2,0.7,7.0,45.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,Matches,Houston Dash,
Delanie Sheehan,us USA,MF,26-241,19.0,18,1463.0,16.3,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.2,1.2,2.1,3.3,24.0,62.0,50.0,0.06,0.12,0.18,0.06,0.18,0.07,0.13,0.2,0.07,0.2,Matches,Houston Dash,
Paige Nielsen,us USA,DF,31-332,19.0,17,1587.0,17.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.5,1.5,0.1,1.6,16.0,58.0,5.0,0.06,0.0,0.06,0.06,0.06,0.09,0.01,0.09,0.09,0.09,Matches,Houston Dash,
Yazmeen Ryan,us USA,"FW,MF",26-198,17.0,17,1530.0,17.0,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,3.7,3.7,2.8,6.4,44.0,62.0,104.0,0.18,0.12,0.29,0.18,0.29,0.22,0.16,0.38,0.22,0.38,Matches,Houston Dash,
Maggie Graham,us USA,"MF,DF",23-063,19.0,15,1434.0,15.9,3.0,3.0,6.0,3.0,0.0,0.0,2.0,0.0,2.7,2.7,1.3,4.0,13.0,37.0,35.0,0.19,0.19,0.38,0.19,0.38,0.17,0.08,0.25,0.17,0.25,Matches,Houston Dash,
Natalie Jacobs,us USA,DF,28-026,16.0,15,1358.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.2,0.5,8.0,58.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04,Matches,Houston Dash,
Avery Patterson,us USA,"DF,MF",23-089,15.0,15,1298.0,14.4,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.2,1.2,1.7,2.9,51.0,45.0,60.0,0.21,0.07,0.28,0.21,0.28,0.08,0.12,0.2,0.08,0.2,Matches,Houston Dash,
Jane Campbell,us USA,GK,30-206,14.0,14,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Houston Dash,
Katie Lind,us USA,DF,31-208,13.0,12,1081.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.6,1.3,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.11,0.06,0.11,Matches,Houston Dash,
